Gene	HC11	HC12	HC13	HC14	C71	C72	C73	C74	C75	C76	C77	C78	C79	C80	C81	C82
APITD1	0	0	0	2	8	2	5	17	7	7	5	40	0	6	17	4
APITD1-CORT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CORT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DFFA	62	43	34	46	74	46	73	71	43	91	75	162	18	36	33	37
PEX14	9	6	13	9	45	24	21	35	18	24	33	10	9	11	8	7
CASZ1	11	20	18	23	72	62	51	26	22	39	67	68	5	46	36	38
C1orf127	3	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0
TARDBP	432	390	114	279	190	233	1014	494	270	606	624	893	103	274	310	359
MASP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRM	22	7	27	52	82	47	94	40	80	143	84	127	3	62	23	24
EXOSC10	8	11	4	31	37	34	44	35	17	62	51	46	2	23	12	12
MTOR	22	13	15	42	61	48	101	73	69	108	99	93	3	36	29	21
ANGPTL7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBIAD1	31	24	17	62	58	47	43	45	13	78	67	40	26	40	26	26
PTCHD2	0	3	1	5	0	0	4	0	2	3	0	0	0	0	0	0
FBXO2	10	3	15	9	26	5	18	17	6	3	54	278	0	2	0	13
FBXO44	17	35	6	19	48	11	25	7	7	14	31	12	3	10	0	6
FBXO6	11	8	1	5	28	16	16	35	13	18	23	16	5	16	25	8
MAD2L2	64	60	12	31	68	44	99	109	55	137	105	108	34	114	95	53
DRAXIN	21	4	25	0	10	4	2	15	4	11	31	27	2	0	0	0
AGTRAP	40	23	53	98	188	58	102	115	177	943	232	415	6	253	127	49
C1orf167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTHFR	66	85	45	139	259	148	87	164	81	247	184	144	61	131	79	79
CLCN6	28	39	2	17	51	38	37	40	16	35	29	16	28	25	21	37
NPPA	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0
NPPB	0	0	0	0	0	0	0	0	0	0	0	455	0	0	0	0
KIAA2013	120	124	131	162	225	154	319	430	180	414	441	689	25	210	238	217
PLOD1	16	26	29	41	83	38	55	34	83	199	108	317	3	53	19	16
MFN2	32	36	16	51	142	78	113	130	44	121	131	142	40	204	82	60
MIIP	63	31	1	10	26	28	34	38	20	40	40	37	30	41	68	77
TNFRSF8	9	9	10	11	29	4	8	6	3	38	12	17	0	12	11	9
TNFRSF1B	3123	2570	1347	1857	3441	2199	2797	2306	2442	5256	2672	3837	665	1854	1224	2245
VPS13D	97	77	60	142	106	111	155	158	71	159	216	143	23	77	64	88
DHRS3	30	42	0	14	44	19	25	27	11	15	27	129	1	7	0	11
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf158	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
PRAMEF12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WI2-3308P17.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LRRC38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDPN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRDM2	84	48	41	135	150	115	74	109	47	139	158	132	12	106	56	30
KAZN	0	0	4	0	0	2	0	1	3	2	2	33	0	28	0	0
TMEM51	2	0	2	4	40	7	3	7	1	6	9	33	5	9	3	5
C1orf195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FHAD1	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0
EFHD2	334	236	114	189	741	331	349	459	229	544	497	409	486	562	460	736
CTRC	4	1	3	1	2	6	5	2	0	2	5	3	2	1	0	2
CELA2A	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CELA2B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CASP9	9	4	9	14	28	23	18	34	13	44	21	28	0	33	35	16
DNAJC16	2	13	15	25	36	29	25	48	11	55	48	150	21	12	11	21
AGMAT	7	2	12	6	18	1	8	2	1	7	2	20	0	1	0	3
DDI2	58	37	25	61	105	43	55	80	42	71	98	94	43	35	34	40
PLEKHM2	59	55	25	57	273	129	203	116	133	227	226	211	35	155	107	105
SLC25A34	0	0	0	1	8	1	1	2	0	5	9	1	0	0	0	3
TMEM82	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0
FBLIM1	0	0	1	0	1	0	0	0	1	0	2	15	0	0	0	0
SPEN	26	33	7	58	97	55	54	51	23	49	77	64	23	47	34	20
ZBTB17	51	50	4	13	82	45	58	34	13	57	45	14	87	38	47	56
C1orf64	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
HSPB7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLCNKA	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CLCNKB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM131C	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
EPHA2	0	0	0	1	2	0	0	2	0	1	0	37	0	0	0	0
ARHGEF19	61	42	19	50	40	38	86	38	54	77	105	112	8	78	31	53
RSG1	1	0	2	0	0	2	5	0	2	5	3	10	0	0	0	5
FBXO42	18	7	27	25	44	23	53	62	27	72	61	44	13	23	27	20
SZRD1	87	78	69	101	327	168	174	102	108	270	257	296	19	115	100	118
SPATA21	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0
NECAP2	76	66	93	87	175	93	106	145	63	193	118	105	4	66	74	59
NBPF1	13	18	8	20	21	15	11	27	4	19	11	54	4	16	24	9
CROCC	27	12	1	35	79	53	64	66	13	67	113	26	3	13	19	26
MFAP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP13A2	6	8	4	5	35	7	7	5	3	13	14	7	1	8	1	3
SDHB	63	28	40	55	255	110	142	190	93	126	116	87	40	129	99	69
PADI2	96	39	60	41	85	44	41	117	226	97	75	468	69	207	216	39
PADI1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PADI3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PADI4	30	13	38	31	72	30	135	139	171	520	124	425	18	1033	573	28
RCC2	106	94	178	448	359	522	490	839	285	733	796	476	104	349	529	397
ARHGEF10L	47	58	54	106	63	56	96	75	107	176	143	284	18	25	34	21
ACTL8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGSF21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KLHDC7A	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
PAX7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP13-279N23.2	0	0	0	0	0	1	0	0	0	2	0	0	8	2	0	0
ALDH4A1	24	9	13	5	30	10	24	11	35	83	38	115	5	61	56	32
IFFO2	16	3	32	28	72	16	39	49	25	32	58	30	9	2	5	31
UBR4	120	85	123	147	389	218	280	322	236	812	477	499	18	452	320	100
EMC1	31	31	38	41	32	34	52	49	42	82	64	56	7	26	12	33
MRTO4	34	12	15	20	36	21	52	21	15	23	21	75	23	15	37	25
AKR7A3	0	0	1	0	3	0	1	0	0	1	2	0	0	0	0	0
AKR7A2	198	100	87	101	125	66	159	160	71	213	141	206	74	99	119	98
PQLC2	14	8	6	2	14	6	15	5	10	8	4	13	2	6	2	23
CAPZB	358	240	262	611	547	519	585	671	422	977	848	946	112	653	446	399
MINOS1-NBL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MINOS1	37	33	12	35	115	39	73	52	17	59	41	53	26	49	58	57
NBL1	1	4	1	0	6	0	12	4	2	16	0	23	0	0	0	8
HTR6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMCO4	6	1	5	8	28	10	12	16	11	9	34	6	1	0	3	2
RNF186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTUD3	13	8	1	12	17	12	17	13	5	13	14	9	10	7	5	5
PLA2G2E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLA2G2A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLA2G5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLA2G2D	0	0	0	0	0	0	1	0	0	0	8	1	0	0	0	0
PLA2G2F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLA2G2C	0	0	0	1	0	0	0	0	0	2	2	0	0	0	0	0
UBXN10	3	0	1	1	4	0	3	1	8	9	1	2	0	1	2	6
VWA5B1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAMK2N1	0	2	7	7	11	10	0	11	1	3	4	88	1	0	0	4
MUL1	22	11	14	23	43	39	33	45	22	61	55	60	1	31	10	19
FAM43B	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0
CDA	5	3	19	16	55	14	27	37	14	156	25	86	6	110	79	12
PINK1	35	34	25	53	70	8	55	67	39	80	36	224	10	70	44	63
DDOST	255	152	500	156	398	188	445	275	178	312	266	672	85	176	167	179
KIF17	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0
SH2D5	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0
HP1BP3	129	100	82	257	259	223	277	375	169	400	551	370	31	193	231	89
EIF4G3	12	7	3	16	37	23	29	45	17	43	39	71	1	23	20	16
ECE1	306	369	322	311	860	603	763	443	651	1312	668	2678	321	784	402	895
NBPF3	3	2	0	5	5	2	2	3	15	5	22	9	0	10	0	3
ALPL	2	0	0	0	5	0	2	4	5	3	0	97	0	48	2	19
RAP1GAP	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0
USP48	27	49	57	121	261	84	169	151	140	388	272	392	32	96	135	59
LDLRAD2	1	6	0	0	3	0	3	2	0	0	1	0	0	0	0	0
HSPG2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CELA3B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CELA3A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDC42	168	125	351	576	1925	748	568	900	292	977	718	772	32	552	442	267
WNT4	0	0	0	0	0	1	3	4	0	1	0	7	0	0	0	0
ZBTB40	34	36	9	81	87	49	96	53	40	78	90	80	7	39	24	20
EPHA8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1QA	41	39	7	3	153	100	73	54	165	49	104	40	51	23	187	106
C1QC	0	0	0	0	16	3	0	2	0	3	8	3	2	0	8	6
C1QB	6	5	7	0	69	28	7	3	33	7	11	9	6	3	24	8
EPHB2	8	3	5	3	57	20	21	56	14	21	37	10	4	12	8	0
C1orf234	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
KDM1A	3	10	0	11	22	20	28	39	7	27	12	13	2	19	28	31
LUZP1	30	2	2	6	31	12	12	11	6	13	19	8	15	6	0	17
HTR1D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HNRNPR	31	31	39	157	282	176	146	281	63	194	207	161	8	85	92	54
ZNF436	1	0	0	5	2	5	1	0	5	5	2	29	0	6	0	1
C1orf213	0	0	1	1	3	1	1	1	0	2	4	0	0	1	0	0
TCEA3	12	8	4	15	10	12	25	7	1	7	3	105	0	1	0	5
ASAP3	0	0	0	0	5	0	1	0	0	1	0	1	0	0	0	0
E2F2	4	2	12	15	18	17	90	88	52	139	99	65	9	139	89	56
ID3	10	5	48	40	25	13	20	21	11	29	18	840	1	6	1	0
MDS2	9	10	0	0	0	2	15	1	1	6	5	1	0	0	2	0
RPL11	2403	1520	1635	3513	4339	1594	4102	2083	2267	5119	3074	5612	423	1554	1504	1295
TCEB3	16	12	43	66	92	53	81	81	68	134	115	54	5	94	52	38
PITHD1	178	97	69	131	137	89	186	168	60	122	191	199	40	215	124	144
LYPLA2	459	274	72	123	236	161	309	355	131	294	264	197	304	249	327	475
GALE	1	2	3	6	14	3	2	12	8	17	14	25	0	3	13	0
HMGCL	6	8	7	15	17	8	13	9	8	39	30	46	4	6	16	1
FUCA1	12	11	34	59	61	61	65	100	54	118	107	130	13	50	34	31
CNR2	16	10	6	6	5	5	16	1	0	13	9	15	14	3	0	1
PNRC2	3	0	5	11	68	19	16	17	0	16	58	26	3	32	22	22
SRSF10	32	39	19	55	116	63	68	102	38	94	111	113	32	34	51	52
MYOM3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL22RA1	0	0	0	0	0	0	2	1	0	0	1	2	0	0	0	0
IFNLR1	4	0	5	10	20	8	32	17	2	12	39	22	3	10	1	16
GRHL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STPG1	1	0	1	0	0	7	6	4	0	4	11	1	1	0	2	2
NIPAL3	24	22	17	84	77	65	53	78	29	89	96	136	0	30	33	27
RCAN3	18	26	32	152	106	100	101	123	20	101	56	92	2	21	7	17
NCMAP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRRM1	27	33	21	98	123	84	38	106	18	45	66	94	17	37	45	55
CLIC4	6	0	7	22	67	63	47	41	19	77	81	196	8	48	64	27
RUNX3	1092	954	616	958	2137	1584	1014	1181	547	609	2769	1325	209	349	227	851
SYF2	93	84	48	177	184	136	233	245	174	371	287	265	105	272	123	125
C1orf63	100	109	26	315	144	128	267	263	102	227	263	182	115	230	177	206
RHD	18	18	7	5	21	8	7	4	2	8	10	15	19	1	7	8
TMEM50A	37	26	53	67	268	116	86	110	31	99	101	83	14	57	65	52
RHCE	0	0	0	0	0	0	1	0	0	0	0	7	0	0	0	0
TMEM57	23	15	5	28	48	48	20	50	35	41	41	69	4	29	33	15
LDLRAP1	456	267	82	202	151	119	346	326	111	388	311	188	109	140	89	168
MAN1C1	44	36	15	42	58	53	91	47	11	35	39	28	3	12	6	21
SEPN1	12	7	7	34	69	22	17	38	31	90	37	83	5	19	11	11
RP1-317E23.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTFR1L	56	61	9	24	26	14	42	37	20	71	63	48	68	33	29	40
AL020996.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AUNIP	2	0	5	1	3	0	5	6	1	3	3	8	0	3	13	2
PAQR7	33	28	87	23	40	7	8	10	16	26	5	49	5	11	22	13
STMN1	64	51	75	155	157	194	841	477	205	655	426	1165	38	310	784	590
PAFAH2	67	57	41	47	29	39	61	60	19	40	92	56	18	8	10	31
EXTL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC30A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRIM63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDIK1L	8	2	1	5	17	3	13	5	1	2	1	5	0	5	18	0
FAM110D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF593	138	67	29	27	38	33	134	40	33	62	67	84	51	42	20	92
CNKSR1	0	0	0	1	2	1	2	5	0	1	1	1	0	0	0	0
CATSPER4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP85	6	4	2	10	20	5	16	11	10	10	14	15	2	9	9	13
SH3BGRL3	10	1	5	16	57	17	24	29	11	28	16	14	0	11	10	14
UBXN11	10	6	0	0	8	4	11	4	3	7	7	12	4	1	5	6
CD52	4353	3899	2740	2427	4329	1216	4536	2516	1465	3451	2774	2405	1111	946	1187	5573
AIM1L	0	0	0	6	0	9	5	2	2	1	15	32	0	13	7	1
ZNF683	47	28	80	61	142	22	66	34	12	31	171	60	9	3	2	128
LIN28A	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DHDDS	38	39	53	59	77	71	165	90	91	185	136	111	27	86	74	69
HMGN2	1114	18	22	38	173	22	452	50	80	53	39	58	7	59	812	27
RPS6KA1	334	354	116	280	201	239	559	413	507	1062	952	920	117	612	374	326
ARID1A	163	105	114	178	234	165	356	287	105	283	239	214	54	166	166	139
PIGV	3	4	4	4	6	4	8	17	6	10	1	3	1	7	1	2
ZDHHC18	70	59	23	50	115	103	129	85	53	116	138	608	12	157	81	96
SFN	25	22	0	12	13	9	10	16	11	5	5	808	9	18	3	10
GPN2	27	13	25	41	37	21	46	44	27	49	45	75	1	30	16	16
GPATCH3	77	63	12	32	56	51	73	90	39	118	63	27	69	74	53	72
